Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;*RETIRAT* A.E.F.S. Montgat B;-;Can Palet FS;;27/05/2018;17:00;;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Orange Futsal Castellbisbal ""B"" - Nacional Femenina";-;A.E. I.E.S. Manuel Blancafort;;01/06/2018;20:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 9;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;***RETIRAT COPA***Futbol Club Montmaneu;-;"Club Futsal Alcarràs ""B""";;02/06/2018;14:30;;Jornada 7;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;F.s. Borges Femení;-;"*RETIRAT COPA*Orange Futsal Castellbisbal ""B"" - Nacional Femenina";;02/06/2018;15:00;;Jornada 6;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA*E.F.S. Alta Segarra Femení;-;"Pony´s Futbol Sala ""A""";;02/06/2018;15:00;;Jornada 6;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;Celler de l' Arnau - Jovents BALAGUER;-;*RETIRAT COPA*Futbol Sala Femení Vila-Sana;;02/06/2018;15:00;;Jornada 6;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA* Peramola F.s.;-;Futsal Bellmunt;;02/06/2018;15:00;;Jornada 7;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;F.C. Ivars De Noguera;-;*** RETIRT COPA***Gela;;02/06/2018;15:00;;Jornada 8;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*FS Vinaixa Femeni;-;A.E. I.E.S. Manuel Blancafort;;02/06/2018;16:00;;Jornada 6;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;F.S. Union Llagostense Mecman Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;;02/06/2018;16:00;;Jornada 22;"Cadet ""A""";;08. Cadet;Fútbol sala
